Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 18 Oct 2024 5:26:51 PM

Recipient,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1975-2017,Percentage,Sum total years,Percentage of total
Thailand,88,155,111,199,314,330,350,82,254,350,185,162,539,623,289,235,572,426,183,610,530,734,937,76,172,80,116,152,131,120,115,99,8,16,63,60,251,276,377,105,183,342,321,11321,0.9%,11321,0.9%
Brazil,539,571,545,872,394,355,61,72,87,119,83,135,230,125,734,136,160,91,57,306,241,536,465,232,376,137,631,223,110,85,223,178,188,178,135,256,239,318,225,212,218,117,100,11295,0.9%,11295,0.9%
Czechoslovakia,837,213,300,560,498,468,824,897,806,919,1162,813,668,593,875,280,57,,,,,,,,,,,,,,,,,,,,,,,,,,,10770,0.8%,10770,0.8%
Kuwait,77,230,490,487,198,35,13,173,287,490,619,167,50,7,134,326,515,896,694,36,635,1189,478,46,198,227,67,23,43,2,12,5,288,5,9,85,113,31,73,692,325,159,114,10744,0.8%,10744,0.8%
Bulgaria,390,368,492,876,323,580,984,610,764,943,603,927,444,248,336,754,339,42,1,1,1,122,,,7,,,,2,12,132,22,48,117,119,8,29,5,,,5,,,10651,0.8%,10651,0.8%
Venezuela,230,170,216,59,14,370,920,707,242,234,517,92,73,105,120,189,318,72,37,1,5,37,39,8,85,108,106,44,15,9,21,380,767,738,366,211,600,689,993,180,124,95,,10305,0.8%,10305,0.8%
Morocco,207,216,408,419,725,468,799,527,394,72,50,31,32,111,126,137,62,17,98,117,28,89,220,,60,127,11,155,12,14,101,47,27,46,39,309,1406,879,62,572,47,287,605,10155,0.8%,10155,0.8%
Peru,555,373,933,748,641,697,858,271,320,361,215,254,614,241,10,104,108,130,43,175,47,121,373,51,94,18,10,16,22,47,368,193,172,,43,46,71,5,15,153,211,168,28,9920,0.8%,9920,0.8%
Jordan,372,337,464,593,279,384,401,1061,786,478,292,250,143,247,59,16,24,,1,5,19,75,77,248,63,139,160,132,281,169,79,52,183,160,233,90,214,175,75,197,231,231,369,9845,0.8%,9845,0.8%
Norway,49,35,27,24,47,254,435,457,441,337,122,141,198,308,600,435,321,253,180,93,77,151,158,152,150,229,99,90,9,6,14,557,596,603,571,150,607,147,51,16,143,142,353,9829,0.8%,9829,0.8%
North Korea,591,487,297,354,313,487,347,527,339,112,963,1075,813,818,561,340,251,183,146,79,184,118,54,54,54,63,73,54,35,8,5,5,5,5,4,1,,,,,,,,9801,0.7%,9801,0.7%
Chile,184,415,58,157,138,147,147,343,140,538,8,171,154,84,137,135,104,170,85,82,331,164,284,88,206,230,60,74,187,68,446,1093,655,391,329,474,326,61,55,135,135,40,49,9280,0.7%,9280,0.7%
Malaysia,85,394,146,72,310,127,56,25,275,543,405,141,5,14,37,,33,13,13,308,828,32,553,39,721,26,26,153,190,69,58,184,498,493,1284,212,4,18,79,75,118,271,196,9128,0.7%,9128,0.7%
Yugoslavia,701,663,731,543,899,632,571,762,730,293,354,343,328,710,326,307,140,,,,,,,,,,,,,,,,,,,,,,,,,,,9033,0.7%,9033,0.7%
Romania,636,294,348,296,642,516,470,445,284,243,330,455,214,199,294,596,63,185,14,29,2,39,61,170,142,21,24,21,17,285,436,60,97,76,56,107,80,21,20,0 ,22,177,88,8575,0.7%,8575,0.7%
Argentina,268,499,204,434,451,446,833,406,1309,724,485,219,217,71,6,159,,27,,209,43,21,105,171,276,208,6,15,11,161,3,9,24,21,15,11,16,5,13,6,21,17,45,8188,0.6%,8188,0.6%
Angola,244,192,105,146,111,153,243,381,579,483,535,710,1192,971,152,140,,,123,113,1,44,7,150,360,149,157,148,48,8,38,7,35,29,20,,,,31,2,51,154,111,8124,0.6%,8124,0.6%
Finland,129,74,12,105,47,328,118,132,112,127,203,98,66,141,85,88,65,440,406,234,195,552,397,560,768,472,7,15,242,67,93,132,141,135,42,54,60,79,278,182,278,166,47,7968,0.6%,7968,0.6%
Switzerland,136,142,4,217,226,272,289,175,442,404,341,108,151,179,318,438,474,386,102,118,93,187,379,435,506,22,67,62,117,203,168,83,108,17,39,48,32,10,6,5,12,73,4,7599,0.6%,7599,0.6%
Belgium,130,184,187,412,792,577,521,438,583,575,287,91,91,407,203,314,125,48,73,47,16,3,50,55,58,36,30,48,21,15,3,15,171,191,86,35,23,29,45,97,52,4,7,7172,0.5%,7172,0.5%
Ethiopia,58,135,1116,965,113,330,328,516,353,273,268,348,239,155,47,2,80,,,,,,69,208,152,114,,20,174,239,,,,,,58,76,193,154,33,10,55,51,6931,0.5%,6931,0.5%
Cuba,200,316,609,503,410,349,964,964,778,426,352,281,73,167,94,169,159,,,,,,,,,,,,,8,,,,,,,,,,,,,,6820,0.5%,6820,0.5%
South Africa,235,419,503,392,128,196,126,48,218,126,28,194,20,17,11,11,26,361,244,239,38,38,11,,21,6,18,,,,262,741,914,493,134,178,208,127,1,50,2,,,6785,0.5%,6785,0.5%
Oman,181,150,250,81,43,12,72,180,358,120,88,49,40,19,117,60,,,55,145,278,285,157,22,,118,32,40,37,49,178,296,12,72,95,31,21,122,492,719,151,422,757,6405,0.5%,6405,0.5%
Denmark,149,356,369,362,57,483,479,473,231,72,89,16,99,98,187,128,154,72,51,88,134,75,77,116,70,50,146,40,50,232,116,84,133,93,130,21,,103,38,170,42,103,53,6089,0.5%,6089,0.5%
Hungary,495,378,394,660,485,384,143,179,173,307,229,80,77,42,68,15,22,,928,2,1,156,99,45,71,14,14,,,72,13,253,196,5,4,18,8,,2,7,,14,5,6056,0.5%,6056,0.5%
Sweden,292,214,114,229,250,248,440,158,179,106,84,118,125,152,127,94,55,60,46,307,106,98,196,294,224,206,165,74,66,47,78,120,51,51,17,11,191,207,54,44,26,70,32,5824,0.4%,5824,0.4%
Portugal,326,64,94,130,5,36,57,184,12,109,154,5,9,90,149,70,1012,19,350,453,20,9,2,16,3,3,19,,29,70,158,220,60,145,372,891,170,42,11,3,1,21,8,5598,0.4%,5598,0.4%
Bangladesh,39,70,62,45,1,55,72,128,109,59,81,4,1,242,302,188,79,113,49,61,123,7,26,1,184,200,274,37,8,32,10,221,80,12,,36,117,184,649,207,640,451,333,5592,0.4%,5592,0.4%
Myanmar,53,10,9,25,19,40,,38,,,,8,,,34,278,239,31,331,97,224,115,231,156,141,16,153,156,100,192,157,177,153,80,63,61,668,398,250,110,252,279,207,5551,0.4%,5551,0.4%
NATO**,,,,,,,,1250,1250,1250,802,,,18,36,,,,,,,,,,18,,18,,,,,116,,,420,,,22,,,,12,25,5236,0.4%,5236,0.4%
Mexico,104,69,39,74,68,75,115,343,116,,8,143,154,103,63,34,40,19,160,136,55,92,495,19,136,215,149,97,20,325,33,78,,23,59,109,225,257,52,85,318,316,209,5231,0.4%,5231,0.4%
France,45,196,204,241,107,70,106,142,108,73,20,100,84,133,107,65,948,424,96,80,97,64,223,171,105,98,61,38,55,93,2,68,75,4,74,106,43,87,107,17,44,47,85,5110,0.4%,5110,0.4%
Nigeria,424,104,90,142,108,474,331,642,41,359,569,211,115,62,15,18,4,59,41,95,2,15,1,,,36,9,6,66,11,,16,62,33,65,223,63,28,30,232,206,60,41,5105,0.4%,5105,0.4%
Colombia,291,10,8,12,36,12,28,18,299,659,7,6,4,37,218,13,72,36,68,42,35,49,193,160,44,60,268,173,145,18,18,54,229,110,263,261,145,207,171,167,193,18,91,4949,0.4%,4949,0.4%
Qatar,38,26,55,16,14,57,48,127,460,320,2,2,57,91,10,5,17,63,10,9,10,200,237,302,61,3,,,,,,,27,,286,30,190,335,82,55,488,596,321,4648,0.4%,4648,0.4%
Ecuador,42,225,581,224,110,294,122,254,385,347,23,28,26,26,20,3,136,4,18,17,45,29,103,31,16,,50,1,,15,47,47,2,102,77,90,69,88,11,53,27,26,20,3833,0.3%,3833,0.3%
Azerbaijan,,,,,,,,,,,,,,,,,,,50,25,,,,,,3,,89,,4,59,161,213,33,145,162,568,388,391,631,338,276,291,3825,0.3%,3825,0.3%
South Yemen,14,,8,55,1078,1218,496,41,99,71,52,74,89,12,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3352,0.3%,3352,0.3%
Sudan,,,26,208,4,3,209,90,25,106,66,9,122,77,16,4,46,6,,,3,27,63,,36,,106,50,204,294,134,71,35,130,88,184,175,97,130,66,134,109,65,3216,0.2%,3216,0.2%
Philippines,133,256,198,143,92,75,39,17,117,39,23,,26,12,19,33,34,43,62,72,28,41,70,64,,,10,5,10,34,12,23,16,10,1,3,63,21,83,12,153,228,278,2597,0.2%,2597,0.2%
Bahrain,,,2,12,10,22,40,55,10,129,55,133,249,135,71,362,68,42,1,8,71,51,198,8,,299,28,54,1,10,66,63,27,21,,98,4,24,69,1,17,26,27,2566,0.2%,2566,0.2%
Austria,6,12,,8,72,195,73,97,145,13,28,19,7,117,84,5,6,5,8,38,22,9,190,247,48,25,15,81,41,56,26,5,269,190,286,7,8,8,6,2,1,13,10,2503,0.2%,2503,0.2%
Yemen,,,,,,,,,,,,,,,,78,113,,,4,167,,,1,52,158,70,585,58,248,311,38,66,41,5,261,47,38,23,6,33,7,6,2416,0.2%,2416,0.2%
Kazakhstan,,,,,,,,,,,,,,,,,,,,,99,2,64,,72,121,139,22,,49,44,46,83,28,43,59,63,96,143,83,446,253,218,2175,0.2%,2175,0.2%
Sri Lanka,1,0 ,17,7,,18,,,,48,42,28,111,19,6,19,168,22,37,77,64,207,48,83,62,293,159,43,34,48,57,96,91,79,21,5,21,,22,5,,,45,2104,0.2%,2104,0.2%
New Zealand,51,7,34,,,,31,62,100,41,8,29,5,61,26,23,42,54,36,16,7,7,309,15,305,,45,17,156,98,,6,81,3,56,78,28,30,26,81,88,,,2061,0.2%,2061,0.2%
North Yemen,9,0 ,13,14,740,705,154,45,9,104,108,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,0.2%,1982,0.2%
Tunisia,14,10,73,14,122,103,56,60,103,116,314,,56,17,48,4,20,32,,35,56,68,41,18,12,,,44,1,,168,2,,3,,7,7,,40,49,7,39,97,1857,0.1%,1857,0.1%
Kenya,25,17,58,211,56,119,144,89,19,12,6,26,178,,47,43,14,,,30,,,61,,,15,,,,,,,11,,34,96,35,68,1,17,30,32,17,1511,0.1%,1511,0.1%
Cyprus,,,,,,,,5,19,24,33,40,34,124,28,82,94,26,10,37,33,170,98,7,113,4,180,66,6,16,18,22,17,,,44,41,6,,,,,30,1424,0.1%,1424,0.1%
DR Congo,445,132,31,38,15,10,12,15,5,16,1,1,36,1,,5,,2,,,0 ,61,6,10,46,88,11,18,,,26,24,,18,37,155,,15,1,,3,43,,1328,0.1%,1328,0.1%
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,,,,7,36,28,237,112,69,72,170,434,109,1311,0.1%,1311,0.1%
Mozambique,28,34,152,494,111,52,60,64,59,94,73,6,,,,,,,,,,,,,2,,,,1,,,,,,,,0 ,0 ,9,16,5,45,,1306,0.1%,1306,0.1%
Mongolia,195,31,30,47,29,60,72,156,118,114,98,27,36,27,,,,,,,,,,,,,,,,,,,,15,,64,3,78,,,73,,,1270,0.1%,1270,0.1%
Uganda,123,34,7,,,,,14,,,10,,32,1,20,,,,,,32,,,55,39,6,,33,,36,10,5,0 ,14,28,37,468,213,20,2,7,1,22,1267,0.1%,1267,0.1%
Tanzania,48,,47,67,260,53,121,9,,,,1,,,5,,,18,,5,,4,,,,2,,1,51,,10,12,1,,29,,78,115,118,14,20,20,2,1110,0.1%,1110,0.1%
Czechia,,,,,,,,,,,,,,,,,,,,,1,35,9,0 ,1,13,57,42,94,6,600,46,10,25,6,13,71,22,15,,0 ,,,1067,0.1%,1067,0.1%
Nicaragua,,8,19,13,,,44,69,50,167,90,91,157,63,14,107,1,,,,,,,,,,,,,,,,14,,15,,,,,13,14,86,7,1039,0.1%,1039,0.1%
Russia,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,90,,8,25,10,121,184,207,113,127,94,1019,0.1%,1019,0.1%
Lebanon,11,3,8,2,19,37,9,36,93,192,71,,,,,,,40,40,18,42,27,9,8,4,4,,,,,1,,5,1,52,64,1,31,27,6,48,28,50,987,0.1%,987,0.1%
unknown recipient(s),,,,,,30,85,86,87,87,87,87,87,87,41,,11,11,19,5,9,3,,4,,,2,,0 ,0 ,,,,12,,8,6,,32,33,13,32,17,977,0.1%,977,0.1%
Cambodia,,,,43,,34,,,13,67,69,134,50,10,123,48,,,2,74,1,27,22,,,,,,,,,14,56,,4,34,,78,68,,,,,969,0.1%,969,0.1%
Zambia,48,109,41,42,4,136,253,43,,18,,,,,,,,,,,,8,,,,43,,2,,,0 ,30,5,2,,,1,61,,,15,44,46,948,0.1%,948,0.1%
Belarus,,,,,,,,,,,,,,,,,,,,,,,,41,41,,,,,,6,140,,,3,,75,75,75,66,98,120,158,900,0.1%,900,0.1%
Somalia,128,185,44,57,48,122,97,61,23,15,42,15,,,,16,,,,,,,,,1,,,,,,,,,,,,,,3,,1,2,2,861,0.1%,861,0.1%
Brunei,1,0 ,,46,64,,8,12,85,60,,13,,,,4,4,,,,,17,31,7,4,,5,1,0 ,0 ,1,1,,,33,33,229,20,15,121,36,,,852,0.1%,852,0.1%
Cameroon,,29,73,,1,,28,113,5,125,16,11,5,1,3,8,,3,,,,5,6,9,4,,6,10,,,5,3,,1,,10,,9,139,124,9,23,8,793,0.1%,793,0.1%
Zimbabwe,42,19,4,13,,,15,81,34,33,28,212,29,2,,2,47,63,0 ,,,,,1,25,8,10,,16,14,25,25,,,,,,,,,,,,747,0.1%,747,0.1%
Laos,37,21,134,26,,35,54,1,94,26,59,,29,18,,8,,,,,,,43,22,30,7,,,0 ,,4,,,7,26,,15,19,19,,7,,2,742,0.1%,742,0.1%
Uruguay,13,53,2,8,9,21,100,15,17,,12,,,16,41,41,63,25,18,11,12,4,19,27,9,4,,13,,,20,8,3,78,29,20,,,3,9,13,,,736,0.1%,736,0.1%
Georgia,,,,,,,,,,,,,,,,,,,4,,,,4,28,23,6,85,,1,38,95,97,161,132,38,,2,,5,1,,,7,728,0.1%,728,0.1%
Eritrea,,,,,,,,,,,,,,,,,,,21,20,7,43,53,212,31,20,57,18,17,80,98,,4,,,,,,,,,,,681,0.1%,681,0.1%
Armenia,,,,,,,,,,,,,,,,,,,2,181,47,68,,,2,,,,,118,,,1,,46,52,5,,16,,,110,18,666,0.1%,666,0.1%
Ireland,9,,5,28,27,44,12,3,,11,2,38,,24,,,11,,,41,,,,3,33,0 ,42,21,,25,5,13,27,32,,4,,,,40,43,43,2,586,0.0%,586,0.0%
Chad,10,8,3,,,10,,,37,9,1,29,28,9,56,,,,,3,1,,,7,7,,16,,,,,18,30,82,36,42,1,4,59,58,1,2,6,574,0.0%,574,0.0%
Bolivia,17,16,1,11,52,39,28,2,,,18,15,,56,66,,11,25,16,9,2,,,,9,19,,,5,1,1,9,2,3,5,1,25,12,1,46,,27,7,558,0.0%,558,0.0%
Ghana,28,39,,18,7,38,48,,,,5,,13,,2,4,1,,,11,,7,5,,7,1,12,1,6,37,0 ,0 ,16,,11,2,76,39,52,14,13,22,,537,0.0%,537,0.0%
Gabon,34,47,28,76,,33,36,5,11,99,2,8,10,22,,29,,,,,,,,,,,,,,7,,20,18,,,27,5,1,2,,5,3,,527,0.0%,527,0.0%
Slovakia,,,,,,,,,,,,,,,,,,,146,29,208,29,,,,0 ,,29,,1,4,,0 ,0 ,9,9,,2,5,,,,47,517,0.0%,517,0.0%
Honduras,31,30,34,33,9,13,31,34,37,25,35,75,13,44,17,,,,,,,,,,,,,,,,,,,0 ,,,0 ,0 ,20,13,8,,10,513,0.0%,513,0.0%
Croatia,,,,,,,,,,,,,,,,,1,29,29,53,1,12,41,,,,57,2,24,8,,,20,103,4,11,19,19,,27,11,20,13,504,0.0%,504,0.0%
Lithuania,,,,,,,,,,,,,,,,,,70,10,,5,15,,15,9,6,16,14,1,47,11,53,4,27,27,8,1,1,73,10,14,34,7,478,0.0%,478,0.0%
Congo,2,4,,35,26,17,3,11,25,25,3,,,28,44,44,18,,,,,,27,2,2,0 ,,,8,7,4,1,0 ,,4,28,5,23,35,6,2,,,439,0.0%,439,0.0%
Senegal,,15,41,20,29,,,7,38,4,,14,18,,,,,,,1,6,,,,,,,,,,16,15,12,6,6,4,16,,,9,24,40,48,387,0.0%,387,0.0%
Equatorial Guinea,,,,4,,1,,5,,,,,,,,,,,,,,,,,3,,7,,,7,11,7,28,30,68,3,56,60,2,92,,,,382,0.0%,382,0.0%
Botswana,,,1,1,7,2,11,,,,4,,26,40,4,22,2,2,11,,11,32,71,2,,53,15,1,10,9,,,,,10,10,,6,8,,,5,,377,0.0%,377,0.0%
El Salvador,46,19,10,3,11,12,5,32,21,66,41,5,,,,,21,4,2,,4,4,,2,,,,19,10,,,,,3,2,2,2,4,1,21,,,1,374,0.0%,374,0.0%
Mali,11,89,,,,,91,4,15,13,0 ,,,2,,1,,,,0 ,,,9,4,,7,,1,3,,13,,8,3,10,,0 ,9,7,1,,22,32,355,0.0%,355,0.0%
Mauritania,5,15,29,17,24,,19,16,,0 ,3,,,,8,16,18,,,16,3,3,8,4,,31,,27,7,,,,,,,17,5,11,,8,1,35,,345,0.0%,345,0.0%
Estonia,,,,,,,,,,,,,,,,,,2,3,15,17,1,13,4,1,27,,2,14,11,26,4,18,28,42,13,1,2,18,2,18,29,33,344,0.0%,344,0.0%
Latvia,,,,,,,,,,,,,,,,,,0 ,8,12,16,0 ,0 ,0 ,4,3,14,4,25,13,5,9,51,46,11,16,27,9,5,5,3,28,30,343,0.0%,343,0.0%
Cote d'Ivoire,,,22,15,38,56,19,,,9,,,,,2,,,0 ,,,2,,0 ,,2,0 ,,32,61,9,,,,,,,,,,6,5,5,14,297,0.0%,297,0.0%
Slovenia,,,,,,,,,,,,,,,,,2,10,22,11,22,31,9,4,19,2,41,2,17,17,3,3,2,,10,40,28,,,1,,,,296,0.0%,296,0.0%
Namibia,,,,,,,,,,,,,,,,,,,,2,4,,5,5,,,21,11,,16,,75,,25,15,3,1,57,9,2,,3,35,290,0.0%,290,0.0%
Guinea,2,18,8,45,69,,1,1,1,,,39,,,40,1,1,,,,,,,4,,26,6,,2,,1,,0 ,,,5,1,4,,5,,,2,280,0.0%,280,0.0%
North Macedonia,,,,,,,,,,,,,,,,,,,,29,0 ,,,11,81,17,118,,,,,0 ,,,,,,0 ,1,,,0 ,,258,0.0%,258,0.0%
Dominican Republic,2,12,,,,9,5,36,,25,2,0 ,,3,,,,,,,,4,,6,1,13,5,0 ,8,35,2,,,,10,51,12,,,,1,0 ,,243,0.0%,243,0.0%
Guatemala,47,15,1,1,5,8,49,16,1,7,25,2,0 ,0 ,4,0 ,0 ,,13,4,4,2,,1,,,,,,,,,,0 ,,,,2,,,33,,,240,0.0%,240,0.0%
Northern Alliance (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,2,20,210,,,,,,,,,,,,,,,,,232,0.0%,232,0.0%
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,30,,,,18,100,55,5,226,0.0%,226,0.0%
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,44,1,2,65,2,10,36,19,8,,223,0.0%,223,0.0%
