Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 18 Oct 2024 5:29:10 PM

Exports by,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1975-2017,Percentage,Sum total years,Percentage of total
Czechoslovakia,739,829,845,868,818,791,935,926,1044,1110,1036,1248,1302,1359,1064,625,427,220,,,,,,,,,,,,,,,,,,,,,,,,,,16184,1.2%,16184,1.2%
Switzerland,465,546,312,196,455,533,554,411,331,528,347,345,312,370,319,468,497,452,235,176,146,195,126,214,282,186,221,178,198,279,266,310,308,484,238,260,326,235,194,337,482,217,175,13705,1.0%,13705,1.0%
Spain,277,46,25,38,18,10,135,265,370,245,93,198,158,143,169,117,105,71,104,254,89,113,634,174,46,47,8,18,99,54,113,898,628,626,984,273,997,266,450,962,982,481,820,12602,1.0%,12602,1.0%
Sweden,123,71,55,55,261,157,127,120,118,227,211,320,230,512,401,224,155,147,103,111,226,348,104,337,387,360,897,164,516,298,539,387,330,454,409,661,698,477,386,345,193,257,81,12578,1.0%,12578,1.0%
Ukraine,,,,,,,,,,,,,,,,,,165,82,237,166,232,556,706,736,274,554,310,313,196,294,529,639,399,443,517,567,1491,683,630,299,455,376,11850,0.9%,11850,0.9%
Canada,82,259,138,179,167,136,109,240,99,78,84,237,246,125,33,79,93,139,144,164,254,146,96,37,78,67,112,159,306,307,218,216,314,219,165,159,261,248,160,173,321,91,61,6996,0.5%,6996,0.5%
Poland,316,425,400,336,247,226,365,230,134,91,131,265,222,232,20,112,62,57,,133,179,57,23,1,65,47,81,56,83,47,18,282,163,73,75,28,8,31,147,33,2,5,10,5516,0.4%,5516,0.4%
South Korea,,,,,105,105,130,65,,126,28,73,,54,48,72,118,,60,7,27,24,25,32,,10,230,,96,74,109,158,278,110,224,177,328,203,350,220,94,437,702,4898,0.4%,4898,0.4%
Brazil,58,104,144,183,73,159,68,123,200,275,207,138,216,206,53,106,127,98,40,54,38,27,27,18,,,,20,,46,1,44,54,93,44,146,32,33,31,30,52,123,36,3525,0.3%,3525,0.3%
Norway,6,6,6,87,140,130,246,54,35,,42,29,54,34,127,85,167,79,41,46,17,4,13,3,3,2,34,82,94,61,6,17,58,108,141,159,146,167,153,138,182,104,121,3228,0.2%,3228,0.2%
Belarus,,,,,,,,,,,,,,,,,,,8,,7,129,402,63,454,293,49,64,58,19,53,43,6,224,41,161,98,97,269,101,142,152,51,2983,0.2%,2983,0.2%
South Africa,28,19,0 ,,,49,49,1,,,25,25,28,25,0 ,,54,75,54,13,17,31,7,22,28,20,37,22,47,74,36,199,137,141,107,243,74,193,111,63,67,82,96,2299,0.2%,2299,0.2%
North Korea,12,,,,20,31,6,107,210,194,176,73,208,177,62,5,84,97,103,20,32,37,37,59,42,40,53,150,129,42,15,15,15,15,22,6,,,,1,,,,2292,0.2%,2292,0.2%
Australia,131,113,62,21,22,15,17,26,31,62,10,57,89,18,18,168,90,,30,36,36,16,20,4,,,43,47,44,2,49,26,52,56,84,137,143,45,54,95,85,135,100,2287,0.2%,2287,0.2%
Belgium,,,,2,3,1,19,41,89,115,3,19,,18,36,1,1,,,39,161,61,93,46,62,46,37,34,15,47,160,59,32,223,243,12,111,22,55,10,12,7,17,1950,0.1%,1950,0.1%
Czechia,,,,,,,,,,,,,,,,,,,199,319,146,123,24,20,58,82,89,60,65,2,72,44,34,34,24,5,11,8,41,26,151,153,90,1877,0.1%,1877,0.1%
Turkiye,,,,,,23,11,,,,,,,,,,,,,,3,3,0 ,3,44,20,5,27,43,28,25,67,85,120,76,70,90,144,139,157,225,244,179,1830,0.1%,1830,0.1%
Austria,0 ,,,37,126,54,70,61,58,60,248,40,30,12,12,30,20,20,10,17,,18,3,29,23,23,17,83,2,3,3,62,67,14,44,65,52,23,28,16,10,17,22,1528,0.1%,1528,0.1%
Libya,26,4,,8,395,95,107,169,14,54,31,9,13,64,7,36,,,,3,,,3,10,,,,21,16,113,113,18,9,17,32,27,0 ,,,,,,,1411,0.1%,1411,0.1%
Finland,63,,,63,63,,,15,,,,,,1,,,18,9,12,20,25,3,1,17,20,12,31,35,35,27,38,121,60,97,63,66,64,99,69,93,26,54,28,1347,0.1%,1347,0.1%
Yugoslavia,14,65,71,45,25,103,103,22,53,77,94,8,2,17,18,80,480,,,,,,,,,,,,,,,,,,,,,,,,,,,1276,0.1%,1276,0.1%
Japan,,,,9,11,167,,,17,17,44,92,,,15,30,54,101,122,130,126,165,25,,,,,,,,,,40,,,,,,,,,,2,1168,0.1%,1168,0.1%
Romania,,,,27,44,48,30,91,101,173,99,28,35,52,25,7,6,15,16,29,11,5,13,2,19,3,,,24,,3,8,32,,2,1,0 ,,216,,,,,1164,0.1%,1164,0.1%
Denmark,24,,,,,18,29,64,115,,,,117,36,,80,,,183,268,16,,,,3,18,,10,2,,,5,6,8,10,8,26,26,8,19,22,21,13,1153,0.1%,1153,0.1%
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,126,4,,,,209,209,209,,,,34,68,,1111,0.1%,1111,0.1%
Bulgaria,,,,,,,,,4,,,106,,,5,6,42,58,28,56,1,21,8,41,171,6,10,37,45,20,87,5,9,4,16,4,2,13,23,23,81,83,33,1044,0.1%,1044,0.1%
Singapore,17,,,29,72,,15,,25,88,,,81,25,87,44,3,3,11,30,,1,46,23,11,12,,4,,65,,,,,34,27,16,79,7,12,80,77,,1022,0.1%,1022,0.1%
Egypt,16,,67,78,13,29,77,81,71,37,5,19,76,81,81,25,,15,28,17,12,5,5,,,,,,,,,,,,,,,,,7,21,,,867,0.1%,867,0.1%
Slovakia,,,,,,,,,,,,,,,,,,,178,40,100,62,58,10,125,37,54,33,,46,,3,22,9,,,,5,1,8,3,20,22,836,0.1%,836,0.1%
UAE,,,,,,,,,14,,,22,1,,,2,,,,,28,6,37,,,,,,,3,11,17,3,,34,39,3,70,108,87,142,95,101,823,0.1%,823,0.1%
Jordan,50,,18,,,,,,76,,2,7,,7,64,,,,,65,,,6,,,,,,,43,22,,13,13,28,117,,21,33,114,16,18,80,812,0.1%,812,0.1%
unknown supplier(s),15,9,1,12,31,30,44,22,10,2,8,42,3,8,6,10,9,3,41,56,1,67,11,4,3,12,17,19,12,15,53,9,0 ,36,9,31,8,14,10,26,12,5,6,742,0.1%,742,0.1%
East Germany (GDR),,12,25,15,35,34,43,3,,,,39,116,116,149,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,662,0.1%,662,0.1%
Iran,81,,,,,1,1,1,1,1,1,1,1,1,1,0 ,1,1,1,0 ,1,2,0 ,0 ,0 ,0 ,0 ,3,9,1,2,75,,63,65,65,103,31,17,52,15,5,15,614,0.0%,614,0.0%
Portugal,105,21,,4,4,2,,,1,,,1,1,,71,,,,1,,,,,,,,,,,,,,,99,46,,0 ,0 ,,18,7,172,56,609,0.0%,609,0.0%
India,31,,,27,22,,,2,,,,,0 ,1,0 ,7,0 ,7,9,2,2,0 ,0 ,0 ,0 ,21,2,0 ,4,31,19,33,23,15,27,5,3,,18,40,42,49,56,497,0.0%,497,0.0%
Moldova,,,,,,,,,,,,,,,,,,11,,36,,,217,,,6,42,60,13,,18,3,19,29,20,,12,,,,,,,487,0.0%,487,0.0%
Indonesia,,,,9,,4,,,,,8,4,,,,,,,18,18,27,,9,,54,,18,54,,27,9,9,,1,,,4,,,,,85,94,450,0.0%,450,0.0%
Syria,2,,0 ,,,,,178,46,1,32,31,,15,,,,40,40,,,0 ,0 ,,,,,,,,,3,,,30,30,,,,,,,,448,0.0%,448,0.0%
Ireland,,,,2,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,24,48,47,41,41,38,1,40,40,21,10,,,375,0.0%,375,0.0%
Serbia,,,,,,,,,,,,,,,,,,,,,,20,5,,,,20,,,,,5,5,45,0 ,31,4,15,10,10,62,86,11,330,0.0%,330,0.0%
Hungary,8,,,,,4,30,4,4,,,,,,,,,,21,,6,,24,,,,,34,,,82,,9,,,,,,41,,,,,265,0.0%,265,0.0%
Pakistan,,,,,,15,30,30,,,,,,,1,82,3,,,2,,,,,,4,,9,8,9,25,4,,1,,,,,,,,1,3,227,0.0%,227,0.0%
Iraq,,,,,,28,,,,,,,,169,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.0%,217,0.0%
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,92,,,18,18,14,,,,,,,4,5,5,214,0.0%,214,0.0%
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,46,69,,69,,16,,,,,,,,,,,,6,7,213,0.0%,213,0.0%
Greece,,,,,,,,,,,,,,,,,,15,10,18,,19,31,9,3,2,2,,6,22,13,23,,,,,,,,,,,30,202,0.0%,202,0.0%
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,109,,,18,,,,,,,1,199,0.0%,199,0.0%
Chile,0 ,,,0 ,,0 ,0 ,,0 ,,,3,3,4,4,,3,8,,,,29,,2,1,1,,1,,,,,,100,,,,,,20,,,,180,0.0%,180,0.0%
Saudi Arabia,,0 ,13,,,,33,,,6,4,,,,,,,,12,,,1,,,,,,,,,,18,,,,1,62,,,,3,5,,158,0.0%,158,0.0%
New Zealand,3,,,,,,1,2,,10,7,0 ,,,,,34,4,,3,,,,,1,1,,1,,1,0 ,,,,,,,75,,,1,6,,150,0.0%,150,0.0%
Kuwait,,,,,,27,,,,4,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,125,0.0%,125,0.0%
Ethiopia,,,,,,,,,,,35,,51,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,103,0.0%,103,0.0%
Nicaragua,,,,,,,,,,,,,,,2,2,,74,18,,6,,,,,,,,,,,,,,,,,,,,,,,102,0.0%,102,0.0%
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,79,,,,,,,,,,2,2,98,0.0%,98,0.0%
Argentina,,1,,,8,1,31,7,5,,,,4,0 ,,6,0 ,,13,5,5,,,,,2,,2,,,,2,,,,,1,,,,,,,94,0.0%,94,0.0%
Kazakhstan,,,,,,,,,,,,,,,,,,,,,13,12,3,7,13,19,13,,,6,,6,,,,,,,,,,,,92,0.0%,92,0.0%
Taiwan,,,,,1,,,,,,,,,,42,6,,,,,,4,,,,,6,,,,,,,,16,,,2,,,4,2,2,86,0.0%,86,0.0%
Peru,,,,,,,,50,,,,,,,,,,,,,,,,,,,14,,,5,,,,,,,,,,,,,,70,0.0%,70,0.0%
Venezuela,13,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,1,,7,,3,40,,,,,,,,,63,0.0%,63,0.0%
South Yemen,6,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,0.0%,57,0.0%
Qatar,,,,,,,,,,,,,,,,,,,40,,,,,,9,,,,,,,2,,,,,0 ,,,,,,,51,0.0%,51,0.0%
Malaysia,,,,,,,,6,,,,,3,,,,,,,,0 ,,,,11,,,,,,,,,,0 ,,,,15,15,,,,51,0.0%,51,0.0%
Lebanon,,,,,,,,,,,,,,,,,1,,,,,,,,,,,48,,,,,,,,,,,,,,,,49,0.0%,49,0.0%
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,12,,36,0.0%,36,0.0%
Cyprus,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,34,0.0%,34,0.0%
Cuba,1,,,12,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.0%,32,0.0%
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,14,,3,,,,,25,0.0%,25,0.0%
Ghana,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,25,0.0%,25,0.0%
Viet Nam,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,25,0.0%,25,0.0%
DR Congo,,,,,1,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,23,0.0%,23,0.0%
Chad,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0.0%,20,0.0%
Oman,,,5,,,,,,,,,5,,,,,,,,0 ,,,,,,,,,,,1,,,,,,,,,,,,7,19,0.0%,19,0.0%
Aruba,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,18,0.0%,18,0.0%
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,0 ,,,,,10,16,0.0%,16,0.0%
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,5,,,15,0.0%,15,0.0%
Sudan,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,15,0.0%,15,0.0%
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,3,13,0.0%,13,0.0%
Kenya,,,,,,,8,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,12,0.0%,12,0.0%
Fiji,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.0%,10,0.0%
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,0.0%,10,0.0%
Estonia,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,1,,,9,0.0%,9,0.0%
Latvia,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,9,0.0%,9,0.0%
Mexico,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0%,8,0.0%
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,8,0.0%,8,0.0%
Algeria,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,6,0.0%,6,0.0%
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,0.0%,6,0.0%
Morocco,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0%,6,0.0%
Iceland,,,,,,0 ,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,0.0%,5,0.0%
Nigeria,,,,,,,,,,,,,,,2,3,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,,5,0.0%,5,0.0%
Comoros,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.0%,5,0.0%
Philippines,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,5,0.0%,5,0.0%
Angola,,,,,3,0 ,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,0.0%,5,0.0%
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,4,0.0%,4,0.0%
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0.0%,4,0.0%
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,0.0%,4,0.0%
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4,0.0%,4,0.0%
North Yemen,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0%,3,0.0%
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,3,,,,,,,,,3,0.0%,3,0.0%
Senegal,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0%,3,0.0%
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,0.0%,3,0.0%
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,2,0 ,,,,,,,0 ,,,,,,,,,,,,2,0.0%,2,0.0%
Guyana,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
Cambodia,,,,,,,,,,,,,,,,,,,0 ,0 ,0 ,,,,,1,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
Bangladesh,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
Panama,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
Zambia,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,0.0%,1,0.0%
Mozambique,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
FMLN (El Salvador)*,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Seychelles,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Libya HoR*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0.0%,1,0.0%
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,0 ,0.0%,0 ,0.0%
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,0 ,0.0%,0 ,0.0%
Total world export,37303,35778,40314,42667,38293,41925,45559,45720,43987,41799,38204,39078,39417,36695,35053,30341,28090,24231,25832,22999,22934,23779,28925,27790,24953,19416,18742,17813,19052,21254,21365,24416,26542,24196,24449,25937,30097,27913,27126,27023,28353,30784,31200,1307344,100%,1307344,

