Volume of exports of major arms by region broken down by suppliers 1975-2017
Figures are in millions of SIPRI trend-indicator values (TIVs).
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For a list of states covered by each region see <https://www.sipri.org/databases/regional-coverage>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 18 Oct 2024 5:25:23 PM

,,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1975-2017,% of regional total
,Romania,,,,27,24,18,,,11,46,71,,7,,,,4,7,,,,5,,,,3,,,24,,,,,,1,,,,0,,,,,248,0.2%
,Russia,,,,,,,,,,,,,,,,,,16,60,224,242,113,16,473,228,415,611,162,445,871,285,286,577,1560,1052,836,1586,855,425,464,785,1759,1138,15486,13%
,Saudi Arabia,,,,,,,30,,,6,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,5,,53,0%
,Senegal,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0%
,Serbia,,,,,,,,,,,,,,,,,,,,,,20,5,,,,,,,,,,,,0,,,15,,10,32,16,,98,0.1%
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,,,,,,,,32,0%
,Slovakia,,,,,,,,,,,,,,,,,,,,17,48,11,3,,124,33,27,2,,,,,6,0,,,,,,2,,11,10,294,0.3%
,South Africa,28,19,0,,,49,49,,,,,,,,,,,,,4,9,2,6,12,1,13,12,5,8,7,2,45,31,29,10,66,9,38,20,24,34,27,16,575,0.5%
,South Korea,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,17,0%
,South Yemen,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,0%
,Soviet Union,2430,2241,5179,6755,4916,4677,4788,4199,2171,1591,1701,1601,1919,1386,904,864,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,48333,42%
,Spain,,,6,,18,,120,134,138,5,19,49,13,44,93,74,13,,24,48,,,41,,,8,4,,,,25,50,,1,23,9,17,48,12,9,,28,,1073,0.9%
,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,11,0%
,Sweden,,,2,2,,39,32,,20,17,16,,,3,,,,,,,,,,,,,,,,,,,,132,105,158,184,105,,,,103,,917,0.8%
,Switzerland,,8,1,3,6,17,10,60,,,,3,7,,,22,8,,6,15,30,30,2,1,1,,,,5,9,18,2,,,,,,1,6,0,,,,267,0.2%
,Syria,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0%
,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,2,18,0%
,Turkiye,,,,,,23,11,,,,,,,,,,,,,,,,,,,,,,,,,,8,22,,,,5,,7,1,19,28,124,0.1%
,UAE,,,,,,,,,14,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,3,70,75,41,7,26,20,258,0.2%
,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,0%
,Ukraine,,,,,,,,,,,,,,,,,,140,,6,33,61,16,157,145,124,89,76,61,19,30,48,103,173,139,309,250,350,124,162,20,100,60,2794,2.4%
,United Kingdom,31,25,155,97,123,185,162,192,143,360,241,66,145,16,13,28,22,106,47,30,8,13,12,9,,1,11,1,16,,18,129,59,80,,51,42,8,9,,42,38,2,2736,2.4%
,United States,354,347,390,521,205,122,711,394,447,354,243,66,107,98,169,82,47,11,92,129,31,61,236,32,36,29,90,106,13,,,48,31,14,43,80,538,448,90,150,85,342,536,7929,6.9%
,unknown supplier(s),15,9,1,12,7,3,24,13,9,1,8,41,1,1,6,10,2,3,20,,1,4,10,2,2,9,11,5,11,12,52,8,0,18,9,8,5,4,,24,1,,1,380,0.3%
,Yugoslavia,5,56,69,23,23,34,34,20,45,70,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,0.4%
,Zambia,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0%
Americas,Regional total,3206,3386,3755,3692,2796,3716,5336,4128,4935,4748,3508,2798,4514,3677,3372,1613,2468,1552,1691,2423,2020,2073,3036,1183,1697,1962,2325,1613,1279,1703,1848,2823,3399,3068,2451,2852,3090,3097,2566,2034,2303,1671,1447,118852,100%
,Argentina,,1,,,8,1,31,7,5,,,,,,,6,0,,,0,5,,,,,2,,2,,,,2,,,,,1,,,,,,,72,0.1%
,Australia,,6,6,6,6,6,,,,,,53,71,,,,,,,18,24,,,,,,42,30,30,2,,9,34,26,,24,96,30,30,60,32,62,60,762,0.6%
,Austria,,,,35,41,16,40,,,,,8,,,,,,,,,,,,,,2,14,,,,,3,6,,4,3,2,1,1,1,5,1,,182,0.2%
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,0%
,Belarus,,,,,,,,,,,,,,,,,,,,,,,353,16,,,,2,,,,,,,,,,,,,,,,371,0.3%
,Belgium,,,,,,1,19,0,2,,,,,,,,,,,39,161,58,24,23,49,34,6,2,,,,50,,0,3,,,,,,,,,471,0.4%
,Brazil,22,61,,32,23,30,5,10,70,99,66,22,120,40,,,19,19,21,,,,,,,,,,,36,1,44,48,45,33,129,18,5,,,,,,1016,0.9%
,Bulgaria,,,,,,,,,4,,,,,,,,,,,11,1,17,,,,,,3,7,,,,,,,,,,,6,,,,48,0%
,Canada,8,33,20,8,7,81,14,14,17,35,47,103,117,81,12,9,27,5,9,57,126,,2,3,0,6,21,131,183,130,132,155,162,175,142,135,178,165,71,55,23,21,18,2737,2.3%
,Chad,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0%
,Chile,0,,,0,,0,0,,0,,,,,1,2,,3,8,,,,,,2,1,1,,1,,,,,,100,,,,,,20,,,,140,0.1%
,China,,,,,,,,,,,2,,,,,,8,20,3,4,2,,,,,,,3,5,,,20,27,41,55,99,29,51,97,91,132,80,0,766,0.6%
,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,0,,,,,10,16,0%
,Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0%
,Cyprus,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,34,0%
,Czechia,,,,,,,,,,,,,,,,,,,,,12,4,,5,5,,,1,,,,,,,,,,,1,2,4,13,41,88,0.1%
,Czechoslovakia,,1,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,0.1%
,Denmark,,,,,,,,,,,,,,16,,,,,183,246,,,,,,,,,,,,,1,,,,,10,5,,,,,460,0.4%
,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0%
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,0%
,Egypt,,,51,51,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,0.1%
,Finland,,,,,,,,,,,,,,,,,3,1,4,5,3,,,,,,,,,,,,,3,3,,,3,,6,,,6,38,0%
,FMLN (El Salvador)*,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,France,95,267,199,352,325,622,759,480,371,262,287,480,334,185,386,280,321,161,101,43,120,89,214,112,202,92,472,22,24,40,309,74,86,110,142,153,157,185,169,189,174,234,111,9788,8.2%
,Germany,427,274,508,360,225,336,395,252,1136,1344,442,167,127,6,193,163,157,30,75,354,53,181,79,86,232,210,31,14,3,130,188,19,183,296,393,414,324,324,230,255,318,95,245,11271,9.5%
,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,0%
,Hungary,,,,,,,,,,,,,,,,,,,18,,6,,,,,,,,,,,,,,,,,,,,,,,24,0%
,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,3,,,30,0%
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,1,0%
,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,5,0%
,Israel,63,38,29,84,105,110,86,77,114,134,58,9,64,3,176,13,76,95,141,93,156,131,124,54,31,91,162,171,108,301,113,91,86,44,113,254,125,52,73,95,80,111,111,4247,3.6%
,Italy,93,47,104,174,587,428,912,788,482,639,296,50,324,88,22,34,133,78,63,62,121,164,167,67,61,36,67,141,87,62,387,192,218,73,69,104,124,141,22,90,80,23,43,7941,6.7%
,Japan,,,,,,,,,,,2,,,,,,54,101,122,130,126,90,25,,,,,,,,,,40,,,,,,,,,,,690,0.6%
,Jordan,,,,,,,,,,,,,,,4,,,,,36,,,,,,,,,,,,,,13,,,,,,,,17,71,140,0.1%
,Kuwait,,,,,,3,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,98,0.1%
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,14,0%
,Latvia,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,9,0%
,Libya,,,,,,,,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0%
,Mexico,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0%
,Moldova,,,,,,,,,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,217,0.2%
,Morocco,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0%
,Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Netherlands,93,11,284,59,25,191,274,142,194,96,43,31,43,64,54,31,89,51,18,100,18,23,25,24,194,173,20,9,,13,148,338,313,41,30,104,222,189,156,300,221,241,154,4846,4.1%
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,6,,81,0.1%
,Nicaragua,,,,,,,,,,,,,,,2,2,,74,18,,6,,,,,,,,,,,,,,,,,,,,,,,102,0.1%
,North Korea,,,,,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0%
,Norway,,,,,,,,,,,,,22,22,,,6,6,20,33,,,,,3,2,1,1,,10,,4,50,100,100,142,75,111,50,65,90,7,25,943,0.8%
,Panama,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0%
,Peru,,,,,,,,50,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,54,0%
,Poland,,,,,,,,,,,,5,,,,,,,,,,8,8,0,12,28,13,,,,,,,,8,8,8,17,121,,,,,237,0.2%
,Portugal,,,,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,99,,,,,,,7,,,109,0.1%
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,0%
,Russia,,,,,,,,,,,,,,,,,,29,,38,52,84,354,18,179,65,7,46,,8,,398,769,700,324,144,378,594,881,184,114,112,7,5486,4.6%
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,18,0%
,Singapore,,,,,,,,,,,,,,,,,,,11,21,,,11,,11,11,,,,,,,,,,,,,,,,,,64,0.1%
,Slovakia,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,4,0%
,South Africa,,,,,,,,1,,,,,,,,,33,1,,,,2,,8,0,,,,1,1,26,81,76,78,68,117,29,72,,,,,,594,0.5%
,South Korea,,,,,,,4,2,,126,,,,,,,10,,,,,,,,,,50,,,,,,,,,16,,,,78,49,71,8,415,0.3%
,Soviet Union,375,361,1229,1027,486,441,1214,899,917,599,520,444,339,306,107,377,159,,,,,,,,,,,,,,,,,,,,,,,,,,,9800,8.2%
,Spain,13,,19,38,,,14,116,231,8,8,79,62,44,47,38,28,8,8,16,8,20,32,66,21,11,4,,34,4,38,380,118,127,151,186,398,147,42,89,149,26,13,2839,2.4%
,Sweden,2,4,4,8,4,26,6,7,6,8,6,7,6,0,0,8,10,10,15,35,21,56,1,,10,21,19,90,63,45,,,,5,7,16,,5,,37,32,36,18,653,0.5%
,Switzerland,5,5,30,30,190,225,247,69,21,24,11,27,17,54,84,169,222,218,46,6,6,22,22,20,51,76,84,101,124,139,160,182,124,96,92,106,92,84,67,55,42,18,,3464,2.9%
,Taiwan,,,,,1,,,,,,,,,,,6,,,,,,4,,,,,6,,,,,,,,,,,2,,,4,2,,26,0%
,Turkiye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,15,0%
,UAE,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0%
,Ukraine,,,,,,,,,,,,,,,,,,,,155,,,22,11,11,18,50,,50,,2,,,,,11,4,,,,,5,,338,0.3%
,United Kingdom,614,1305,903,928,488,422,590,371,358,386,268,342,1763,1627,1661,352,426,371,386,370,540,544,449,211,189,579,612,482,321,487,192,327,413,440,306,198,193,325,120,2,26,50,27,20962,18%
,United States,1385,964,367,492,259,740,715,711,998,981,1426,947,1082,1141,621,125,675,267,408,539,451,489,907,362,434,505,634,350,240,296,153,426,645,439,324,467,637,502,421,348,716,439,440,25467,21%
,unknown supplier(s),,,,,,22,10,,,,,0,1,1,,,,,20,4,,54,,,,,4,6,,,,,,,0,22,0,9,9,,2,,5,168,0.1%
,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,0%
,Venezuela,13,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,,7,,3,40,,,,,,,,,63,0.1%
,Yugoslavia,,8,3,3,3,,,,8,8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.1%
Asia and Oceania,Regional total,6407,7130,7349,6897,8417,9467,9528,8311,10137,9941,10313,11633,11346,12771,14045,12236,10665,7960,8968,7319,10038,9791,13389,10886,11497,8231,8711,8342,8986,9621,8745,9095,9739,10095,11063,12086,13948,13168,12956,11798,11329,11535,12909,438798,100%
,Argentina,,,,,,,,,,,,,,,,,,,13,4,,,,,,,,,,,,,,,,,,,,,,,,17,0%
,Australia,41,17,3,7,8,2,10,18,21,62,10,4,18,18,18,168,90,,,18,12,16,20,,,,1,17,8,,,8,17,17,73,113,47,15,24,35,53,32,35,1073,0.2%
,Austria,,,,,,,,,,,,,,6,,,,,,,,18,,18,,,,,,,,,,,2,3,5,,,,,,2,54,0%
,Bangladesh,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0%
,Belarus,,,,,,,,,,,,,,,,,,,,,,,13,13,13,,,,6,,,,,,,,2,,170,60,66,82,23,448,0.1%
,Belgium,,,,,,,,,51,90,3,,,,,1,1,,,,,3,4,1,,,,,,,,,,,,,,,13,1,9,4,17,196,0%
,Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,3,,,,,17,0%
,Brazil,,,,,,22,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,17,,18,3,28,52,112,14,285,0.1%
,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,12,,36,0%
,Bulgaria,,,,,,,,,,,,106,,,,,,,,,,4,4,,7,,,,,,,,,,,4,,,4,,,,,129,0%
,Cambodia,,,,,,,,,,,,,,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,,,,,2,0%
,Canada,,,4,12,4,1,25,11,43,21,14,13,17,13,5,11,20,36,36,19,30,22,1,4,2,2,10,8,104,108,22,4,6,11,5,,0,16,26,34,124,21,20,886,0.2%
,China,363,386,89,472,286,553,332,491,606,376,241,301,836,761,900,771,1046,495,1080,725,741,439,286,276,239,131,372,298,332,174,192,414,310,345,786,784,960,1108,1553,799,1217,1552,1186,25601,5.8%
,Czechia,,,,,,,,,,,,,,,,,,,32,139,32,17,10,,,10,19,1,28,1,26,0,15,33,17,0,0,0,29,12,20,34,0,476,0.1%
,Czechoslovakia,4,4,46,49,,42,42,,,2,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,202,0%
,Denmark,,,,,,18,,35,,,,,81,2,,,,,,19,,,,,,,,,2,,,,5,,2,,17,7,,9,5,,5,206,0%
,East Germany (GDR),,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0%
,Egypt,13,,,,,,,2,2,2,2,2,2,2,2,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,44,0%
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5,0%
,France,120,154,330,292,508,528,353,271,188,200,656,778,320,357,275,312,299,320,333,300,290,1079,2119,2124,671,328,355,298,567,498,444,430,744,1590,1368,293,737,545,485,428,600,470,921,24276,5.5%
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,12,0%
,Germany,169,285,165,155,155,163,327,45,120,394,101,531,168,222,280,555,497,378,460,899,469,744,501,395,555,470,536,319,312,349,324,408,416,638,711,469,553,111,127,558,208,601,615,16458,3.8%
,Ghana,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0%
,India,31,,,,,,,,,,,,0,0,0,0,0,7,0,0,0,0,0,0,0,21,2,0,4,24,5,33,23,15,,5,3,,11,5,39,15,37,280,0.1%
,Indonesia,,,,,,4,,,,,8,4,,,,,,,,,,,9,,54,,18,54,,27,9,9,,1,,,,,,,,85,85,366,0.1%
,Iran,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0%
,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,48,47,40,40,37,,40,39,21,,,,337,0.1%
,Israel,47,15,36,,14,80,110,136,139,104,104,122,40,67,26,68,88,60,28,34,39,151,124,155,112,279,188,244,203,249,287,271,207,65,243,206,243,261,191,198,233,731,826,7022,1.6%
,Italy,14,37,32,16,101,55,16,24,106,73,294,74,64,68,158,133,97,46,154,26,122,24,184,112,408,106,100,187,85,95,81,77,29,27,147,155,522,202,200,86,122,111,173,4939,1.1%
